"Latest: pH","Latest: Volume (mL)"
3.21792718273,0
3.24585517341,0.0518134715026
3.29243997753,0.103626943005
3.32506078631,0.155440414508
3.36699092531,0.20725388601
3.41357572943,0.259067357513
3.44619653821,0.310880829016
3.49278134233,0.362694300518
3.53001866323,0.414507772021
3.56729413712,0.466321243523
3.5999149459,0.518134715026
3.63719041979,0.569948186528
3.66977307558,0.621761658031
3.70239388436,0.673575129534
3.73501469314,0.725388601036
3.7582880187,0.777202072539
3.78625416237,0.829015544041
3.81422030604,0.880829015544
3.84680296183,0.932642487047
3.87942377061,0.984455958549
3.90269709617,1.03626943005
3.92600857472,1.08808290155
3.94462723517,1.13989637306
3.97259337884,1.19170984456
3.99121203929,1.24352331606
4.00986885273,1.29533678756
4.02848751318,1.34715025907
4.05179899174,1.39896373057
4.0750723173,1.45077720207
4.09838379586,1.50259067358
4.11700245631,1.55440414508
4.13562111676,1.60621761658
4.1542779302,1.65803108808
4.17755125576,1.70984455959
4.19620806921,1.76165803109
4.21017206454,1.81347150259
4.22413605988,1.86528497409
4.24744753844,1.9170984456
4.26606619889,1.9689119171
4.28472301233,2.0207253886
4.29868700767,2.0725388601
4.31730566812,2.12435233161
4.33130781645,2.17616580311
4.3499264769,2.22797927461
4.36854513735,2.27979274611
4.38254728568,2.33160621762
4.39651128101,2.38341968912
4.41512994146,2.43523316062
4.43378675491,2.48704663212
4.44775075024,2.53886010363
4.46640756369,2.59067357513
4.47571689391,2.64248704663
4.49433555436,2.69430051813
4.51764703292,2.74611398964
4.53161102825,2.79792746114
4.54557502359,2.84974093264
4.56423183703,2.90155440415
4.57819583237,2.95336787565
4.59215982771,3.00518134715
4.61081664115,3.05699481865
4.62478063649,3.10880829016
4.64339929694,3.16062176166
4.65274678016,3.21243523316
4.67602010572,3.26424870466
4.68998410106,3.31606217617
4.7086409145,3.36787564767
4.72725957495,3.41968911917
4.74122357029,3.47150259067
4.75522571862,3.52331606218
4.77384437907,3.57512953368
4.79250119251,3.62694300518
4.80646518785,3.67875647668
4.8250838483,3.73056994819
4.84374066174,3.78238341969
4.8670139873,3.83419689119
4.88567080075,3.88601036269
4.9042894612,3.9378238342
4.91825345653,3.9896373057
4.93691026998,4.0414507772
4.95552893043,4.0932642487
4.97414759088,4.14507772021
5.00211373454,4.19689119171
5.01607772988,4.24870466321
5.04404387355,4.30051813472
5.05800786889,4.35233160622
5.08597401255,4.40414507772
5.104592673,4.45595854922
5.13255881667,4.50777202073
5.15583214223,4.55958549223
5.17914362079,4.61139896373
5.20707161146,4.66321243523
5.23503775513,4.71502590674
5.26765856391,4.76683937824
5.29558655459,4.81865284974
5.32355269825,4.87046632124
5.35617350703,4.92227979275
5.39341082793,4.97409326425
5.43068630183,5.02590673575
5.47261644083,5.07772020725
5.51454657984,5.12953367876
5.55647671884,5.18134715026
5.60771618807,5.23316062176
5.6589556573,5.28497409326
5.72419727486,5.33678756477
5.77543674409,5.38860103627
5.84994953889,5.44041450777
5.9338098169,5.49222797927
6.01767009491,5.54404145078
6.10618503803,5.59585492228
6.2133186416,5.64766839378
6.33910905862,5.69948186528
6.46020665753,5.75129533679
6.59065173966,5.80310880829
6.71644215667,5.85492227979
6.87946989459,5.9067357513
7.07050192916,5.9585492228
7.30342594975,6.0103626943
7.52700248712,6.0621761658
7.82516812527,6.11398963731
8.14195242387,6.16580310881
8.48201004803,6.21761658031
8.7847921983,6.26943005181
9.16212529635,6.32124352332
9.52549439907,6.37305699482
9.85159947379,6.42487046632
10.1404252593,6.47668393782
10.3826662407,6.52849740933
10.5690054572,6.58031088083
10.7180768304,6.63212435233
10.8391973211,6.68393782383
10.9370254097,6.73575129534
11.0069026159,6.78756476684
11.0674628613,6.83937823834
11.1187061458,6.89119170984
11.1606324695,6.94300518135
11.1932418324,6.99481865285
11.2211927149,7.04663212435
11.2584605581,7.09844559585
11.2864114406,7.15025906736
11.3097038427,7.20207253886
11.3283377643,7.25388601036
11.3562886468,7.30569948187
11.3749225684,7.35751295337
11.3982149705,7.40932642487
11.4168488921,7.46113989637
11.4401412942,7.51295336788
11.4587752159,7.56476683938
11.4727506571,7.61658031088
11.4913845787,7.66839378238
11.5100185004,7.72020725389
11.5239939416,7.77202072539
11.5426278633,7.82383419689
11.5566033045,7.87564766839
11.5705787457,7.9274611399
11.5892126674,7.9792746114
11.6031881086,8.0310880829
11.6125050694,8.0829015544
11.6264805107,8.13471502591
11.6404559519,8.18652849741
11.6544313931,8.23834196891
11.6684068344,8.29015544041
11.6823822756,8.34196891192
11.6916992364,8.39378238342
11.705678493,8.44559585492
11.7149954538,8.49740932642
11.7243124146,8.54922279793
11.7382878559,8.60103626943
11.7476048167,8.65284974093
11.7569217775,8.70466321244
11.7708972187,8.75647668394
11.7802141796,8.80829015544
11.7941896208,8.86010362694
11.8035065816,8.91191709845
11.8128235424,8.96373056995
11.8221405033,9.01554404145
11.8361159445,9.06735751295
11.8407744249,9.11917098446
11.8500913857,9.17098445596
11.8594083466,9.22279792746
11.8687253074,9.27461139896
11.8780422682,9.32642487047
11.887359229,9.37823834197
11.9013346703,9.43005181347
11.9059931507,9.48186528497
11.9153101115,9.53367875648
11.9246270723,9.58549222798
11.9339440332,9.63730569948
11.943260994,9.68911917098
